epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,382.525,0.52038,0.28274,0.78709,1,0.96506,0.98902,0.87294,0.55406,0.28146,0.78926,0.0007625,0.0007625,0.0007625
127,384.721,0.49761,0.27104,0.78642,1,0.96513,0.98519,0.87946,0.53248,0.26743,0.7885,0.0007526,0.0007526,0.0007526
128,386.938,0.48881,0.26243,0.7892,0.99955,0.95954,0.982,0.87388,0.53706,0.26801,0.78751,0.0007427,0.0007427,0.0007427
129,389.494,0.49127,0.26177,0.78947,1,0.96496,0.97974,0.87589,0.52935,0.25299,0.78775,0.0007328,0.0007328,0.0007328
130,392.418,0.50712,0.27057,0.78687,1,0.96509,0.98293,0.88031,0.53268,0.26551,0.78785,0.0007229,0.0007229,0.0007229
131,395.097,0.49557,0.26478,0.78249,0.99947,0.95954,0.98335,0.87759,0.5251,0.26304,0.78765,0.000713,0.000713,0.000713
132,397.939,0.48195,0.25909,0.78523,1,0.96517,0.98648,0.88299,0.52321,0.26085,0.78576,0.0007031,0.0007031,0.0007031
133,400.579,0.49364,0.26656,0.78361,1,0.9701,0.98423,0.87473,0.56443,0.27066,0.79098,0.0006932,0.0006932,0.0006932
134,403.273,0.4979,0.26462,0.78614,1,0.97017,0.98977,0.87948,0.56555,0.26973,0.79069,0.0006833,0.0006833,0.0006833
135,405.908,0.49514,0.25936,0.78673,1,0.96481,0.98398,0.87661,0.55579,0.26856,0.79017,0.0006734,0.0006734,0.0006734
136,408.242,0.49164,0.26502,0.78479,1,0.96492,0.98375,0.88689,0.52691,0.26162,0.78699,0.0006635,0.0006635,0.0006635
137,410.792,0.48993,0.25921,0.78601,1,0.97008,0.98624,0.88544,0.51994,0.25827,0.78669,0.0006536,0.0006536,0.0006536
138,414.174,0.50141,0.26482,0.79087,1,0.97003,0.98428,0.87721,0.53931,0.25854,0.78824,0.0006437,0.0006437,0.0006437
139,416.542,0.49189,0.2631,0.78784,1,0.97004,0.98648,0.88026,0.53637,0.25721,0.78991,0.0006338,0.0006338,0.0006338
140,419.235,0.47477,0.2503,0.78625,0.99956,0.95954,0.97779,0.87693,0.51634,0.25011,0.78755,0.0006239,0.0006239,0.0006239
141,422.209,0.49057,0.26143,0.79099,1,0.96522,0.98585,0.88327,0.52903,0.25761,0.78814,0.000614,0.000614,0.000614
142,424.52,0.50748,0.26898,0.78248,1,0.96519,0.98884,0.8843,0.52055,0.25341,0.78799,0.0006041,0.0006041,0.0006041
143,427.014,0.49451,0.26239,0.78452,0.99942,0.95954,0.98142,0.86974,0.52564,0.26342,0.78771,0.0005942,0.0005942,0.0005942
144,429.748,0.47748,0.25773,0.7872,0.99998,0.96532,0.98615,0.87719,0.53466,0.2617,0.78728,0.0005843,0.0005843,0.0005843
145,433.057,0.48953,0.26049,0.78955,0.99952,0.95954,0.98574,0.87866,0.53907,0.26221,0.78888,0.0005744,0.0005744,0.0005744
146,436.057,0.49768,0.26248,0.78917,1,0.96525,0.9862,0.87767,0.53698,0.26035,0.78855,0.0005645,0.0005645,0.0005645
147,438.645,0.48112,0.25501,0.78938,0.99947,0.9711,0.99254,0.88786,0.52328,0.25344,0.78672,0.0005546,0.0005546,0.0005546
148,441.358,0.48744,0.26059,0.78754,0.99949,0.95954,0.98213,0.87559,0.52308,0.24833,0.78689,0.0005447,0.0005447,0.0005447
149,443.65,0.47581,0.24782,0.78799,1,0.96512,0.98422,0.87535,0.53025,0.25252,0.78721,0.0005348,0.0005348,0.0005348
150,446.121,0.48413,0.25777,0.78969,1,0.96493,0.98983,0.87664,0.53942,0.25494,0.78876,0.0005249,0.0005249,0.0005249
151,448.841,0.47861,0.25762,0.78351,0.9991,0.9711,0.99263,0.88518,0.51922,0.25849,0.78671,0.000515,0.000515,0.000515
152,451.454,0.47883,0.25486,0.7884,0.99944,0.95954,0.97819,0.8717,0.51869,0.25244,0.78797,0.0005051,0.0005051,0.0005051
153,453.887,0.4768,0.25357,0.78566,0.99951,0.95954,0.97956,0.87849,0.51714,0.24853,0.78781,0.0004952,0.0004952,0.0004952
154,456.621,0.48525,0.25726,0.78012,0.99959,0.95954,0.98573,0.88014,0.52017,0.25586,0.7878,0.0004853,0.0004853,0.0004853
155,459.304,0.4727,0.25559,0.78402,0.99957,0.95954,0.98448,0.88036,0.52005,0.24929,0.78729,0.0004754,0.0004754,0.0004754
156,461.655,0.46816,0.2539,0.78518,1,0.96498,0.98602,0.88304,0.51274,0.25904,0.78691,0.0004655,0.0004655,0.0004655
157,464.486,0.48388,0.25867,0.78377,0.99951,0.95954,0.98596,0.88445,0.52515,0.25802,0.78703,0.0004556,0.0004556,0.0004556
158,467.018,0.46198,0.24918,0.78511,0.9995,0.95954,0.98368,0.88416,0.52677,0.25416,0.78854,0.0004457,0.0004457,0.0004457
159,469.633,0.46721,0.24935,0.78355,1,0.96481,0.98984,0.88576,0.51982,0.25167,0.787,0.0004358,0.0004358,0.0004358
160,472.421,0.46854,0.25173,0.78926,1,0.96481,0.98648,0.88132,0.53862,0.25659,0.78893,0.0004259,0.0004259,0.0004259
161,475.227,0.46934,0.25219,0.78188,0.9908,0.9711,0.99344,0.88557,0.54838,0.25557,0.78856,0.000416,0.000416,0.000416
162,477.819,0.46822,0.2464,0.78493,0.99939,0.95954,0.99149,0.87947,0.52902,0.2537,0.78821,0.0004061,0.0004061,0.0004061
163,481.008,0.47535,0.24911,0.78923,0.99943,0.95954,0.98289,0.87495,0.53257,0.26028,0.7876,0.0003962,0.0003962,0.0003962
164,485.485,0.47119,0.2449,0.78834,0.99951,0.95954,0.98562,0.87792,0.54532,0.25055,0.7888,0.0003863,0.0003863,0.0003863
165,488.115,0.47144,0.2482,0.79337,0.99947,0.95954,0.98607,0.88479,0.5331,0.25596,0.78748,0.0003764,0.0003764,0.0003764
166,490.897,0.46497,0.24515,0.78097,0.99948,0.95954,0.98894,0.88589,0.5113,0.24706,0.7857,0.0003665,0.0003665,0.0003665
167,493.751,0.46477,0.2441,0.78715,1,0.96497,0.98062,0.87743,0.52813,0.24442,0.78766,0.0003566,0.0003566,0.0003566
168,497.006,0.46816,0.24176,0.78747,1,0.96498,0.98613,0.87908,0.52171,0.24694,0.78766,0.0003467,0.0003467,0.0003467
169,500.474,0.45868,0.23951,0.78218,0.99907,0.97688,0.99264,0.88805,0.5263,0.25158,0.78824,0.0003368,0.0003368,0.0003368
170,504.156,0.47749,0.24607,0.78928,1,0.96504,0.98957,0.88505,0.52873,0.24745,0.78722,0.0003269,0.0003269,0.0003269
171,507.438,0.4602,0.2419,0.78516,1,0.9651,0.99202,0.88695,0.51331,0.24633,0.78631,0.000317,0.000317,0.000317
172,510.185,0.47409,0.24849,0.78064,1,0.96509,0.98955,0.88164,0.51674,0.24318,0.78617,0.0003071,0.0003071,0.0003071
173,514.415,0.46551,0.24149,0.78397,0.99885,0.9711,0.99256,0.88678,0.52551,0.24734,0.78752,0.0002972,0.0002972,0.0002972
